Spinlock length (s)		NMR Intensity (a.u.)
0.000200000000000000	39600000000.0000
0.000400000000000000	38600000000.0000
0.000600000000000000	38900000000.0000
0.00100000000000000	36100000000.0000
0.00300000000000000	29500000000.0000
0.00600000000000000	22800000000.0000
0.0120000000000000	15300000000.0000
0.0240000000000000	8700000000.00000
0.0400000000000000	5560000000.00000
0.0600000000000000	3790000000.00000
0.0900000000000000	2070000000.00000				
